estado,municipio,parroquia,old_centro,new_centro,address
276,AMAZONAS,ATURES,PARHUEÑA,SAN CARLOS DE PARHUEÑA,UNIDAD EDUCATIVA INTEGRAL BOLIVARIANA FELIX RAMON RIVAS,"SECTOR COMUNIDA LIMON DE PARHUENA FRENTE CALLE TRANSVERSAL. DERECHA SENDERO SENDERO. IZQUIERDA SENDERO SENDERO COMUNIDAD
LIMON DE PARHUEA CASA"
277,AMAZONAS,ATURES,PARHUEÑA,PAYARAIMA,ESCUELA PAYARAIMA,COMUNIDAD PAYARAIMA ENTRADA  DE CARRETERA NACIONAL AVENIDA PRINCIPAL
278,AMAZONAS,ATABAPO,CM. SAN FERNANDO DE ATABA,E.I.B. SAN FRANCISCO II,ESCUELA INTEGRAL BOLIVARIANA SAN FRANCISCO  DE ATABAPO II,SECTOR CENTRO 1 DERECHA  CALLE RIVAS. IZQUIERDA  CALLE BOLIVAR. FRENTE CALLE VENZUELA CALLE VENEZUELA S/N SAN FERNANDO DE ATABAPO EDIFICIO
279,AMAZONAS,AUTANA,SAMARIAPO,"UNIDAD EDUCATIVA 15
DE ENERO","ESCUELA
MORICHALITO  DE MORGANITO","CASERIO MORICHALITO DE MORGANITO
COMUNIDAD MORGANITO CERCA DEL PUERTO DE EMBARQUE MORGANITO"
8,ARAGUA,GIRARDOT,LAS DELICIAS,UNIVERSIDAD PEDAGOGICA MARACAY,"ACADEMIA TECNICA
9,ARAGUA,GIRARDOT,LAS DELICIAS,CORPOSALUD,"ACADEMIA TECNICA
10,ARAGUA,GIRARDOT,LAS DELICIAS,ESCUELA BASICA ANTONIO ARRAIZ,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
11,ARAGUA,GIRARDOT,LAS DELICIAS,CICLO BASICO ANDRES BELLO,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
12,ARAGUA,GIRARDOT,LAS DELICIAS,ESCUELA BASICA NACIONAL LAS DELICIAS,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
13,ARAGUA,GIRARDOT,LAS DELICIAS,"UNIDAD EDUCATIVA
PRIVADA INTERNACIONAL","ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
14,ARAGUA,GIRARDOT,LAS DELICIAS,"UNIDAD EDUCATIVA
PRIVADA COLEGIO DOCTOR GUSTAVO H MACHADO",ACADEMIA TECNICA MILITAR BOLIVARIANA,AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
15,ARAGUA,GIRARDOT,LAS DELICIAS,"UNIDAD EDUCATIVA
ESTADAL DOCTOR EMILIO MEDINA","ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
16,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,CONSERVATORIO DE MUSICA,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
17,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,ESCUELA BASICA GREGORIA DIAZ,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
18,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,SAPANA,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
19,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,LICEO NACIONAL AGUSTIN CODAZZI,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
20,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,BIBLIOTECA VIRTUAL,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO LAS DELICIAS
21,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,ESCUELA BASICA VICTOR MANUEL PATIO,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
22,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,UNIDAD EDUCATIVA NACIONAL ARAGUA,"ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
23,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,COLEGIO HUMBOLT,UNIDAD EDUCATIVA NACIONAL BOLIVARIANO FELIPE GUEVARA ROJAS,SECTOR CASCO CENTRAL DERECHA AVENIDA BOLIVAR. IZQUIERDA AVENIDA MIRANDA. FRENTE AVENIDA JUNIN FRENTE AL REGISTRO PRINCIPAL DEL ESTADO ARAGUA EDIFICIO
24,ARAGUA,GIRARDOT,MADRE MA DE SAN JOSE,"ALDEA UNIVERSITARIA
ANTONIO JOSE DE SUCRE","ACADEMIA TECNICA
MILITAR BOLIVARIANA",AVENIDA BOLIVAR CRUCE CON PASEO  LAS DELICIAS
