,,,,RESULTADOS DE LAS ELECCIONES REGIONALES 2004 - GOBERNADORES,,,,,,,,,
*Fuente:,CNE,,,,,,,,,,,,
cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,cod_centro,centro,dirección,mesa,total_electores,votos_oposición,votos_oficialismo,votos_nulos
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,1,544,125,126,23
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,2,542,111,130,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,3,502,98,119,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,4,532,118,127,23
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,5,515,115,122,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,6,534,122,109,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,7,514,119,114,23
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4500,ESCUELA B√ÅSICA NACIONAL BICENTENARIO SIM√ìN BOL√çVAR,AVENIDA LIBERTADOR BARRIO EL CHAPARRAL SIN NUMERO,8,581,118,142,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4510,ESCUELA B√ÅSICA NACIONAL FRAY NICOL√ÅS DE ODENA,CALLE COLOMBIA SIN NUMERO BARRIO EL CHAPARRAL,1,509,121,120,12
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4510,ESCUELA B√ÅSICA NACIONAL FRAY NICOL√ÅS DE ODENA,CALLE COLOMBIA SIN NUMERO BARRIO EL CHAPARRAL,2,509,104,116,28
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4510,ESCUELA B√ÅSICA NACIONAL FRAY NICOL√ÅS DE ODENA,CALLE COLOMBIA SIN NUMERO BARRIO EL CHAPARRAL,3,591,142,143,16
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4511,UNIDAD EDUCATIVA ANTONIO JOS√â DE SUCRE,CALLE LIBERTADOR CRUCE CON CALLE MONAGAS SIMON BOLIVAR,1,516,113,114,21
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4511,UNIDAD EDUCATIVA ANTONIO JOS√â DE SUCRE,CALLE LIBERTADOR CRUCE CON CALLE MONAGAS SIMON BOLIVAR,2,528,125,106,30
