edo,estado,mun,municipio,par,parroquia,n centro,centro,Dirección del Centro de Votación,mesa,chavez,arias,claudio,ELECTORES INSCRITOS,VOTOS ESCRUTADOS,VOTOS NULOS,¿mesa_automatizada?,envio_ddhhmm,¿centro_activo?,Enlace Esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,40,UNID BASC MADARIAGA,DELICIAS A CONCORDIA NO 90-4 CARACAS,1,608,440,56,1941,1131,23,1,302010,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,41,U.E.P. SANTA BARBARA,DR GONZALEZ A PARAISO,1,398,259,30,1109,707,11,1,301930,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,1,394,477,66,1552,963,20,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,2,381,461,50,1512,913,17,1,301920,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,3,380,467,49,1519,914,14,1,302000,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,70,ESC BASC DR FRANCISCO MENDOZA,CEIBA A PORVENIR 79-1 CARACAS,1,331,256,26,1100,627,10,1,301920,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,81,UNID EDUC CENTRAL DE EDUCACION,ESQ JESUITA,1,357,398,35,1490,819,22,1,301820,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,82,COL UNIV FRANCISCO DE MIRANDA,ESQUINA DE MIJARES,1,741,578,54,2478,1396,11,1,301950,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,90,INST BAS SIMON BOLIVAR,CU/O A GUANABANO CARACAS,1,813,567,74,2514,1496,29,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,90,INST BAS SIMON BOLIVAR,CU/O A GUANABANO CARACAS,2,563,418,58,1691,1059,15,1,301820,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,100,UNID EDUC SANTA TERESA DEL NIO JESUS,SANTA BARBARA A FE NO 54 CARACAS,1,466,662,52,2135,1199,10,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,1,ALTAGRACIA,704,JARDIN DE INF RAFAEL M BARALT,URB QDA CARABALLO RESID EL AVILA EL RETIRO,1,326,94,25,886,464,18,1,301830,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1360,CICLO BASE FIDEL JESUS OROZCO,CLL LAS TORRES DE PLAN DE MANZANO,1,908,100,29,2301,1078,38,1,301800,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1360,CICLO BASE FIDEL JESUS OROZCO,CLL LAS TORRES DE PLAN DE MANZANO,2,450,60,13,1505,546,22,1,301800,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1362,ESC. MUN. LORENZO HERRERA. M.,CASCO CENTRAL DE PLAN DE MANZANO,1,224,32,8,601,269,2,1,301750,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1370,U E D ELISA DE IZQUIERDO,SECTOR 5 BRR NUEVO DIA,1,649,76,25,1507,768,12,1,311640,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1380,ESC MANUEL MARIA ECHANDIA,KM 5 BRR BLANDIN CARRT VIEJA LA GUAIRA,1,649,84,17,1886,783,28,1,311710,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1380,ESC MANUEL MARIA ECHANDIA,KM 5 BRR BLANDIN CARRT VIEJA LA GUAIRA,2,432,49,16,1246,520,20,1,311640,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1390,GRUPO ESCOLAR FEDERICO QUIROZ,2DA CLL COLINA DE PLAN DE MANZANO,1,543,67,27,1615,672,29,1,301820,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1400,U E TULIO FEBRES CORDERO,CALLE EL MIRADOR LOS FRAILES CATIA CARACAS,1,869,194,40,2110,1122,14,1,301920,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1401,LICEO LUIS ESPELOZIN,SUBIDA DE GATO NEGRO,1,660,221,47,1721,949,16,1,301830,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1401,LICEO LUIS ESPELOZIN,SUBIDA DE GATO NEGRO,2,414,110,46,1084,581,8,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1402,ESC BASC 12 DE MARZO,CLL PPL DE RUPERTO LUGO FTE BLOQUE 5,1,220,45,11,500,282,4,0,31052,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1410,COLEGIO PARROQUIAL SAN RAMON NONATO,CLL REAL DE LOS FRAILES EL MANGUITO,1,673,152,32,1732,885,25,1,301810,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1410,COLEGIO PARROQUIAL SAN RAMON NONATO,CLL REAL DE LOS FRAILES EL MANGUITO,2,408,115,15,1142,549,11,1,301810,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1411,DISP PARROQUIAL S RAMON NONATO,CLL REAL DE LOS FRAILES CATIA,1,138,50,12,398,192,14,0,31053,0,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1420,GRUPO ESCOLAR AGUSTIN AVELEDO,GATO NEGRO A BRISAS DE CATIA CARACAS,1,521,159,38,1452,736,13,1,301830,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1420,GRUPO ESCOLAR AGUSTIN AVELEDO,GATO NEGRO A BRISAS DE CATIA CARACAS,2,488,154,42,1380,713,24,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1420,GRUPO ESCOLAR AGUSTIN AVELEDO,GATO NEGRO A BRISAS DE CATIA CARACAS,3,507,148,39,1402,719,20,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1430,GRUPO ESCOLAR CIUDAD DE BARCELONA,3RA CALLE DE RUPERTO LUGO CATIA CARACAS,1,664,239,48,1864,978,18,1,301830,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1430,GRUPO ESCOLAR CIUDAD DE BARCELONA,3RA CALLE DE RUPERTO LUGO CATIA CARACAS,2,438,171,37,1262,662,14,1,301820,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1431,GUARDERIA INFANTIL CARLOS GUINAND SANDOZ,CLL RUPERTO LUGO BLQ 5 URB CARLOS GUINAND SANDOZ,1,428,121,23,1036,584,9,1,301810,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1432,COLEGIO GLADYS DE FREITES,2DA CALLE RUPERTO LUGO,1,434,154,42,1095,648,13,1,301830,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1433,U E NICANOR BOLET PERAZA,4TA TRANSVERSAL CON 1RA CALLE RUPERTO LUGO,1,630,219,46,1593,918,17,1,301810,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1433,U E NICANOR BOLET PERAZA,4TA TRANSVERSAL CON 1RA CALLE RUPERTO LUGO,2,434,154,38,1099,638,7,1,301810,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1434,GUARD INF FUNDAPOL,3RA CLL RUPERTO LUGO BLQ 2,1,49,15,7,113,73,1,0,31049,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1440,U E MIGUEL ANTONIO CARO,AV SUCRE EST METRO GATO NEGRO,1,717,300,52,1907,1105,29,1,301900,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1440,U E MIGUEL ANTONIO CARO,AV SUCRE EST METRO GATO NEGRO,2,704,257,44,1822,1027,17,1,301900,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1440,U E MIGUEL ANTONIO CARO,AV SUCRE EST METRO GATO NEGRO,3,782,285,53,1937,1161,32,1,301900,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1441,COLEGIO DAVID PASCOE,FRENTE A LA NORMAL MIGUEL ANTONIO CARO,1,580,239,56,1625,894,15,1,301750,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1441,COLEGIO DAVID PASCOE,FRENTE A LA NORMAL MIGUEL ANTONIO CARO,2,376,154,30,1088,581,14,1,301750,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1450,CICLO BASICO JOSE FELIX BLANCO,URB EUGENIO MENDOZA CLL ALTA VISTA,1,444,272,40,1429,782,16,1,301830,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1460,COLEGIO FE Y ALEGRIA MADRE CECILIA CROSS,CALLE SAN ISIDRO BRR ALTA VISTA CARACAS,1,790,273,56,2401,1159,33,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1480,ESC MUNICIPAL CECILIA PIMENTEL,CALL REAL DE ALTA VISTA,1,742,326,58,2399,1170,31,1,301910,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1482,E B BICENTENARIO DEL LIBERTADOR,PRIMER VIADUCTO AUTP LA GUAIRA BRR NVA ESPARTA SEC CAMPO ALEGRE,1,146,17,1,298,169,5,0,31048,0,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1490,E.N. DIEGO RENATO MEJIAS,CLL PPAL DE ALTA VISTA,1,553,239,43,1674,859,15,1,301910,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1490,E.N. DIEGO RENATO MEJIAS,CLL PPAL DE ALTA VISTA,2,402,148,33,1151,603,16,1,301850,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1491,ESC BASC JOSE ROJAS ARMAS,CALLE PRINCIPAL DE ALTAVISTA,1,264,108,21,709,409,14,1,301840,0,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1492,COLEGIO PRIVADO AGRAMONTE,CLL REAL DE ALTA VISTA DESPUES CAPILLA,1,500,251,51,1340,816,12,1,301840,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1500,ESCUELA GRADUADA GRACIELA NAVAS TOVAR,KM 5 AUT CARACAS LA GUAIRA BRR EL LIMON,1,855,82,24,2061,991,26,1,311630,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1510,ESCUELA GRADUADA FLORENCIO JIMENEZ,AV SUCRE FRENTE A LOS ALMACENES MILITARES.,1,710,116,37,2354,893,25,1,302150,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1520,AMBULATORIO URBANO T-2 NUEVA CARACAS,AV SUCRE FRENTE AL YNCA,1,547,153,36,1531,750,9,1,301930,1,esdata
1,Dtto. Capital,1,LIBERTADOR,10,SUCRE,1520,AMBULATORIO URBANO T-2 NUEVA CARACAS,AV SUCRE FRENTE AL YNCA,2,359,103,20,1017,486,3,1,301930,1,esdata
